+-----------+--------------+-------+-----------+------------------+---------------+---------------+
| problemid | type         | level | algorithm | source           | free_solution | free_testdata |
| STRAZA    | combat       |     2 |      NULL | COCI             |             0 |             0 |
| TRESNJA   | combat       |     2 |      NULL | COCI             |             0 |             0 |
| V         | combat       |     2 |      NULL | COCI             |             0 |             0 |
| WOODEN    | combat       |     2 |      NULL | SWERC 15         |             0 |             0 |
| ALADIN    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| BAZA      | combat       |     3 |      NULL | COCI             |             0 |             0 |
| BLACKVI   | combat       |     3 |      NULL | SWERC 15         |             0 |             0 |
| BRITISH   | combat       |     3 |      NULL | NWERC 16         |             0 |             0 |
| CACTUS    | combat       |     3 |      NULL | NEERC 15-16      |             0 |             0 |
| CAIRO     | combat       |     3 |      NULL | SWERC 16         |             0 |             0 |
| CESTARI   | combat       |     3 |      NULL | COCI             |             0 |             0 |
| DVAPUT    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| GOTTA     | combat       |     3 |      NULL | NWERC 16         |             0 |             0 |
| GRAPHGM   | combat       |     3 |      NULL | NEERC 16-17      |             0 |             0 |
| HIGHWAY   | combat       |     3 |      NULL | NWERC 13         |             0 |             0 |
| ISPITI    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| JETICI    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| KOCKE     | combat       |     3 |      NULL | COCI             |             0 |             0 |
| KOLO      | combat       |     3 |      NULL | COCI             |             0 |             0 |
| KRUSKA    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| LISTPRM   | combat       |     3 |      NULL | NEERC 16-17      |             0 |             0 |
| LOZA      | combat       |     3 |      NULL | COCI             |             0 |             0 |
| MOLETUN   | combat       |     3 |      NULL | NEERC 16-17      |             0 |             0 |
| NAJKRAC   | combat       |     3 |      NULL | COCI             |             0 |             0 |
| PALACIN   | combat       |     3 |      NULL | COCI             |             0 |             0 |
| PASIJAN   | combat       |     3 |      NULL | COCI             |             0 |             0 |
| PERIOD    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| PRAVOKU   | combat       |     3 |      NULL | COCI             |             0 |             0 |
| PROSTOR   | combat       |     3 |      NULL | COCI             |             0 |             0 |
| RABBIT    | combat       |     3 |      NULL | SWERC 16         |             0 |             0 |
